name,state,population,county_fips,is_county
Columbia County,GA,156921,073,True
Canadian County,OK,156681,017,True
Bibb County,GA,156554,021,True
Mesa County,CO,156131,077,True
Franklin County,PA,156084,055,True
Citrus County,FL,155173,017,True
Monroe County,MI,154823,115,True
Washington County,MD,154645,043,True
Santa Fe County,NM,154481,049,True
Berrien County,MI,153938,021,True
Hampshire County,MA,153931,015,True
Merrimack County,NH,153918,013,True
Cumberland County,NJ,153588,011,True
Johnson County,IA,153360,103,True
Penobscot County,ME,152640,019,True
Kings County,CA,152515,031,True
Scott County,MN,151347,139,True
Parker County,TX,151188,367,True
Kaufman County,TX,149773,257,True
Sandoval County,NM,149460,043,True
Wilson County,TN,149096,189,True
Coweta County,GA,147449,077,True
Rowan County,NC,147067,159,True
Orange County,NC,145919,135,True
Sussex County,NJ,144808,037,True
Douglas County,GA,144735,097,True
Coconino County,AZ,144705,005,True
Randolph County,NC,144403,151,True
Rock Island County,IL,143819,161,True
Jackson County,MS,143721,059,True
"Livingston Parish, Louisiana County",LA,143425,063,True
Lebanon County,PA,143258,075,True
Schuylkill County,PA,143201,107,True
Taylor County,TX,143029,441,True
Wright County,MN,142543,171,True
Randall County,TX,141489,381,True
Spotsylvania County,VA,141097,177,True
Monroe County,IN,140065,105,True
Brunswick County,NC,139721,019,True
Marathon County,WI,137820,073,True
Napa County,CA,137384,055,True
"Hampton city, Virginia County",VA,137217,650,True
Florence County,SC,137015,041,True
Grayson County,TX,137008,181,True
Washington County,WI,136842,131,True
Boone County,KY,136150,015,True
Humboldt County,CA,136132,023,True
Blount County,TN,135951,009,True
Clark County,OH,135877,023,True
Warren County,KY,135307,227,True
Harnett County,NC,134718,085,True
Cache County,UT,134428,005,True
Calhoun County,MI,134011,025,True
"Tangipahoa Parish, Louisiana County",LA,133953,105,True
Washington County,TN,133282,179,True
Cambria County,PA,133263,021,True
Kendall County,IL,132795,093,True
Sumter County,FL,131832,119,True
Wood County,OH,131564,173,True
Tazewell County,IL,131276,179,True
Pickens County,SC,131106,077,True
Black Hawk County,IA,131041,013,True
Strafford County,NH,130965,017,True
Madison County,IN,130545,095,True
Washington County,RI,129998,009,True
Wichita County,TX,129584,485,True
"Rapides Parish, Louisiana County",LA,129536,079,True
Skagit County,WA,129480,057,True
Hunterdon County,NJ,129099,019,True
"Bossier Parish, Louisiana County",LA,128877,015,True
Clarke County,GA,128864,059,True
Berkshire County,MA,128763,003,True
Linn County,OR,128598,043,True
Fayette County,PA,128417,051,True
Sebastian County,AR,128184,131,True
Chautauqua County,NY,127440,013,True
"Ascension Parish, Louisiana County",LA,126973,005,True
Cochise County,AZ,125504,003,True
Richland County,OH,125008,139,True
Faulkner County,AR,124611,045,True
Bonneville County,ID,124490,019,True
Gregg County,TX,124245,183,True
Kennebec County,ME,124003,011,True
Saline County,AR,123988,125,True
Berkeley County,WV,123283,003,True
Morgan County,AL,123102,103,True
Jasper County,MO,122788,097,True
Blair County,PA,122640,013,True
San Juan County,NM,121798,045,True
Comanche County,OK,121777,031,True
Clark County,IN,121484,019,True
La Crosse County,WI,120216,063,True
Allegan County,MI,120189,005,True
Carroll County,GA,120060,045,True
Gallatin County,MT,119685,031,True
Tom Green County,TX,119276,451,True
