name,state,median_household_income,median_home_value
Prichard,AL,36110.0,76200.0
Providence,AL,67750.0,101300.0
Putnam,AL,,87000.0
Ragland,AL,39241.0,107600.0
Rainbow City,AL,60260.0,189000.0
Rainsville,AL,60339.0,187800.0
Ranburne,AL,75500.0,202300.0
Ray,AL,58958.0,
Red Bay,AL,33234.0,88600.0
Redland,AL,121033.0,308800.0
Red Level,AL,41875.0,81400.0
Redstone Arsenal,AL,121563.0,
Reece City,AL,67813.0,154500.0
Reeltown,AL,36250.0,83400.0
Reform,AL,32375.0,91000.0
Rehobeth,AL,68958.0,188200.0
Remlap,AL,75938.0,186100.0
Repton,AL,39000.0,99400.0
Ridgeville,AL,28036.0,80000.0
River Falls,AL,34000.0,85800.0
Riverside,AL,70208.0,231500.0
Riverview,AL,36250.0,107500.0
Roanoke,AL,43664.0,111000.0
Robertsdale,AL,55345.0,174300.0
Rock Creek,AL,71106.0,135500.0
Rockford,AL,36250.0,91100.0
Rock Mills,AL,,67200.0
Rockville,AL,,
Rogersville,AL,58229.0,141400.0
Rosa,AL,,120800.0
Russellville,AL,50411.0,109300.0
Rutledge,AL,,85000.0
St. Florian,AL,50000.0,235600.0
St. Stephens,AL,50042.0,104200.0
Saks,AL,53463.0,105200.0
Samson,AL,29338.0,75200.0
Sand Rock,AL,68438.0,158900.0
Sanford,AL,,
Saraland,AL,62802.0,188400.0
Sardis City,AL,58906.0,190300.0
Satsuma,AL,87974.0,177600.0
Scottsboro,AL,49287.0,154100.0
Section,AL,31250.0,135200.0
Selma,AL,31084.0,92700.0
Selmont-West Selmont,AL,35417.0,52100.0
Semmes,AL,61433.0,198800.0
Sheffield,AL,39666.0,120700.0
Shelby,AL,28403.0,94300.0
Shiloh,AL,59375.0,85000.0
Shoal Creek,AL,130375.0,681500.0
Shorter,AL,32917.0,81300.0
Silas,AL,47250.0,83900.0
Silverhill,AL,58510.0,264500.0
Sims Chapel,AL,,
Sipsey,AL,23500.0,53100.0
Skyline,AL,38537.0,98500.0
Slocomb,AL,38125.0,92500.0
Smiths Station,AL,55676.0,182700.0
Smoke Rise,AL,84583.0,218400.0
Snead,AL,46886.0,164500.0
Somerville,AL,41012.0,104200.0
Southside,AL,70843.0,187300.0
South Vinemont,AL,48704.0,133900.0
Spanish Fort,AL,98350.0,290100.0
Spring Garden,AL,36250.0,9999.0
Springville,AL,62386.0,251000.0
Spruce Pine,AL,,
Standing Rock,AL,,
Stapleton,AL,124531.0,
Steele,AL,53625.0,94600.0
Sterrett,AL,58594.0,
Stevenson,AL,45163.0,131500.0
Stewartville,AL,59000.0,144600.0
Stockton,AL,138246.0,275000.0
Sulligent,AL,30057.0,107500.0
Sumiton,AL,63682.0,148800.0
Summerdale,AL,70500.0,236500.0
Susan Moore,AL,78000.0,86800.0
Sweet Water,AL,78750.0,182100.0
Sylacauga,AL,46137.0,159000.0
Sylvania,AL,50993.0,119600.0
Sylvan Springs,AL,73482.0,192200.0
Talladega,AL,37945.0,99900.0
Talladega Springs,AL,49375.0,108900.0
Tallassee,AL,48531.0,138500.0
Tarrant,AL,37768.0,100800.0
Taylor,AL,55938.0,123200.0
Theodore,AL,62553.0,144500.0
Thomaston,AL,86250.0,83800.0
Thomasville,AL,45429.0,187400.0
Thorsby,AL,72188.0,179700.0
Tibbie,AL,,
Tidmore Bend,AL,44375.0,110000.0
Tillmans Corner,AL,50565.0,139800.0
Town Creek,AL,44904.0,111900.0
Toxey,AL,,161300.0
Trafford,AL,21941.0,88900.0
Triana,AL,89531.0,207400.0
Trinity,AL,94706.0,202200.0
Troy,AL,38783.0,194600.0
Trussville,AL,118028.0,333200.0
Tuscaloosa,AL,47257.0,228300.0
Tuscumbia,AL,47530.0,150000.0
Tuskegee,AL,32449.0,95500.0
Twin,AL,49028.0,126100.0
Underwood-Petersville,AL,44375.0,112500.0
Union,AL,,48600.0
Union Grove,AL,,165900.0
Union Springs,AL,24921.0,87200.0
Uniontown,AL,24355.0,71600.0
Uriah,AL,83750.0,
Valley,AL,54237.0,113200.0
Valley Grande,AL,64258.0,134200.0
Valley Head,AL,44253.0,59200.0
Vance,AL,72759.0,184700.0
Vandiver,AL,27113.0,
Vernon,AL,37350.0,133700.0
Vestavia Hills,AL,127582.0,467600.0
Vina,AL,37708.0,66700.0
Vincent,AL,35972.0,123800.0
Vinegar Bend,AL,,
