state,name,lat,lon
AL,La Fayette,32.899427,-85.400795
AL,Lakeview,34.391675,-85.975573
AL,Lake View,33.288266,-87.132653
AL,Lanett,32.858649,-85.207788
AL,Langston,34.545063,-86.09335
AL,Leeds,33.546847,-86.571448
AL,Leesburg,34.178627,-85.777897
AL,Leighton,34.69368,-87.524282
AL,Leroy,31.494971,-87.972773
AL,Lester,34.982751,-87.155534
AL,Level Plains,31.307125,-85.768722
AL,Lexington,34.959351,-87.37283
AL,Libertyville,31.24005,-86.456955
AL,Lillian,30.418904,-87.420751
AL,Lincoln,33.580169,-86.127876
AL,Linden,32.30136,-87.792583
AL,Lineville,33.312832,-85.752278
AL,Lipscomb,33.426005,-86.926103
AL,Lisman,32.171729,-88.284092
AL,Littleville,34.595121,-87.670729
AL,Livingston,32.595549,-88.186929
AL,Loachapoka,32.607946,-85.598479
AL,Lockhart,31.013011,-86.350273
AL,Locust Fork,33.876794,-86.647093
AL,Lookout Mountain,34.115916,-85.965464
AL,Louisville,31.781047,-85.558336
AL,Lowndesboro,32.276422,-86.610848
AL,Loxley,30.684588,-87.739213
AL,Luverne,31.718941,-86.269082
AL,Lynn,34.057591,-87.548643
AL,McCalla,33.303112,-87.02666
AL,McDonald Chapel,33.518576,-86.938462
AL,Macedonia,33.403139,-88.239221
AL,McIntosh,31.264957,-88.028369
AL,McKenzie,31.54647,-86.725954
AL,McMullen,33.1481,-88.175749
AL,Madison,34.710533,-86.76228
AL,Madrid,31.035635,-85.399205
AL,Magnolia Springs,30.40341,-87.775895
AL,Malcolm,31.198806,-88.000624
AL,Malvern,31.143698,-85.522973
AL,Maplesville,32.784391,-86.879694
AL,Marbury,32.672984,-86.463728
AL,Margaret,33.67284,-86.463942
AL,Marion,32.631968,-87.317333
AL,Maytown,33.549954,-87.000043
AL,Meadowbrook,33.395235,-86.704373
AL,Megargel,31.378141,-87.430649
AL,Memphis,33.137044,-88.305942
AL,Mentone,34.563209,-85.589704
AL,Meridianville,34.874913,-86.580559
AL,Midfield,33.455272,-86.922414
AL,Midland City,31.315675,-85.493674
AL,Midway,32.076373,-85.524417
AL,Mignon,33.18658,-86.256886
AL,Millbrook,32.501474,-86.373914
AL,Millerville,33.191458,-85.929828
AL,Millport,33.555935,-88.082382
AL,Millry,31.621199,-88.327956
AL,Minor,33.539011,-86.940073
AL,Mobile,30.668426,-88.100226
AL,Monroeville,31.516223,-87.327714
AL,Montevallo,33.126053,-86.847702
AL,Montgomery,32.348503,-86.267307
AL,Moody,33.603429,-86.493786
AL,Moores Mill,34.852143,-86.52038
AL,Mooresville,34.625883,-86.880025
AL,Morris,33.746223,-86.800755
AL,Morrison Crossroads,33.417996,-85.488284
AL,Mosses,32.188758,-86.679435
AL,Moulton,34.488302,-87.282707
AL,Moundville,32.996542,-87.627545
AL,Mountain Brook,33.491488,-86.73447
AL,Mount Olive,33.078454,-86.13304
AL,Mount Olive,33.669286,-86.87549
AL,Mount Vernon,31.087727,-88.013166
AL,Movico,31.062763,-88.026619
AL,Mulga,33.556313,-86.972304
AL,Munford,33.526208,-85.956225
AL,Muscle Shoals,34.74317,-87.633761
AL,Myrtlewood,32.252088,-87.949261
AL,Nanafalia,32.111393,-87.995757
AL,Nances Creek,33.855501,-85.669104
AL,Napier Field,31.314925,-85.454929
AL,Natural Bridge,34.090354,-87.601409
AL,Nauvoo,33.984386,-87.48544
AL,Nectar,33.979779,-86.620614
AL,Needham,31.987,-88.336563
AL,Newbern,32.591672,-87.535614
AL,New Brockton,31.37671,-85.919028
AL,New Hope,34.537972,-86.412372
AL,New Market,34.892335,-86.425818
AL,New Site,33.026041,-85.784536
AL,Newton,31.341229,-85.588307
AL,New Union,34.133682,-86.228002
AL,Newville,31.420604,-85.33669
AL,Nixburg,32.855488,-86.100838
AL,North Courtland,34.680023,-87.305717
AL,North Johns,33.367769,-87.100725
AL,Northport,33.257565,-87.596396
AL,Notasulga,32.555409,-85.668577
AL,Oak Grove,33.190359,-86.303727
AL,Oak Hill,31.92162,-87.085234
AL,Oakman,33.714322,-87.388699
AL,Odenville,33.700875,-86.423371
AL,Ohatchee,33.789759,-86.029062
AL,Oneonta,33.947038,-86.489793
AL,Onycha,31.225693,-86.276024
AL,Opelika,32.660739,-85.37889
AL,Opp,31.284375,-86.257442
AL,Orange Beach,30.293987,-87.595371
AL,Orrville,32.306769,-87.245447
AL,Our Town,32.842211,-85.967035
AL,Owens Cross Roads,34.585458,-86.455027
AL,Oxford,33.597366,-85.868132
AL,Ozark,31.451615,-85.645035
AL,Paint Rock,34.660934,-86.333952
AL,Panola,32.946819,-88.262266
AL,Parrish,33.732321,-87.280127
AL,Pea Ridge,33.133805,-86.937949
AL,Pelham,33.32183,-86.742197
AL,Pell City,33.560312,-86.263634
AL,Pennington,32.200612,-88.037572
AL,Penton,33.009832,-85.474824
AL,Perdido,31.005634,-87.630272
AL,Perdido Beach,30.353879,-87.5048
AL,Peterman,31.583669,-87.263042
AL,Petrey,31.85216,-86.204007
AL,Phenix City,32.453709,-85.031019
AL,Phil Campbell,34.351547,-87.707359
AL,Pickensville,33.235782,-88.289443
AL,Piedmont,33.927557,-85.615267
AL,Pike Road,32.273609,-86.118927
AL,Pinckard,31.318989,-85.537836
AL,Pine Apple,31.872155,-86.989059
AL,Pine Hill,31.985884,-87.587516
AL,Pine Level,32.579539,-86.454318
AL,Pine Ridge,34.447915,-85.783831
AL,Pinson,33.709262,-86.663613
AL,Pisgah,34.684366,-85.84601
AL,Pleasant Grove,33.493967,-86.97815
AL,Pleasant Groves,34.737619,-86.197637
AL,Point Clear,30.486112,-87.911132
AL,Pollard,31.023877,-87.172978
AL,Powell,34.532588,-85.897553
AL,Prattville,32.449041,-86.449401
AL,Priceville,34.529583,-86.882177
AL,Prichard,30.773337,-88.131416
AL,Providence,32.342386,-87.776115
AL,Putnam,32.018084,-88.033057
AL,Ragland,33.748325,-86.135927
AL,Rainbow City,33.928777,-86.084228
AL,Rainsville,34.494364,-85.836505
AL,Ranburne,33.525853,-85.339013
AL,Ray,32.868141,-86.045252
AL,Red Bay,34.436097,-88.136515
AL,Redland,32.481426,-86.143759
AL,Red Level,31.406711,-86.606217
AL,Redstone Arsenal,34.687763,-86.661172
AL,Reece City,34.077241,-86.034498
AL,Reeltown,32.574211,-85.819562
AL,Reform,33.37826,-88.017273
AL,Rehobeth,31.124507,-85.439607
AL,Remlap,33.806972,-86.593941
AL,Repton,31.409716,-87.238931
AL,Ridgeville,34.056929,-86.102874
AL,River Falls,31.352397,-86.544609
AL,Riverside,33.616394,-86.204357
AL,Riverview,31.06126,-87.077531
AL,Roanoke,33.145305,-85.369526
AL,Robertsdale,30.557139,-87.704723
AL,Rock Creek,33.477227,-87.081249
AL,Rockford,32.896866,-86.208346
AL,Rock Mills,33.15994,-85.28107
AL,Rockville,31.405776,-87.844212
AL,Rogersville,34.827714,-87.284092
AL,Rosa,33.992756,-86.500325
AL,Russellville,34.505719,-87.728123
AL,Rutledge,31.724072,-86.302008
AL,St. Florian,34.874098,-87.623736
AL,St. Stephens,31.571111,-88.052834
AL,Saks,33.711401,-85.853698
AL,Samson,31.112417,-86.046735
AL,Sand Rock,34.231228,-85.770416
AL,Sanford,31.298819,-86.398848
AL,Saraland,30.85401,-88.097202
AL,Sardis City,34.172413,-86.119104
AL,Satsuma,30.857874,-88.063383
AL,Scottsboro,34.64462,-86.048155
AL,Section,34.581644,-85.984942
AL,Selma,32.416983,-87.035702
AL,Selmont-West Selmont,32.378253,-87.006888
AL,Semmes,30.796223,-88.24759
AL,Sheffield,34.757028,-87.698183
AL,Shelby,33.106882,-86.585403
AL,Shiloh,34.462666,-85.877617
AL,Shoal Creek,33.430763,-86.610925
AL,Shorter,32.411501,-85.972808
AL,Silas,31.767802,-88.325923
AL,Silverhill,30.545359,-87.750557
AL,Sims Chapel,31.249255,-88.142971
AL,Sipsey,33.822119,-87.082918
AL,Skyline,34.798524,-86.12243
AL,Slocomb,31.112126,-85.59866
AL,Smiths Station,32.522852,-85.099425
AL,Smoke Rise,33.879942,-86.824683
AL,Snead,34.116228,-86.390916
AL,Somerville,34.467053,-86.791203
AL,Southside,33.890841,-86.01802
AL,South Vinemont,34.235567,-86.863965
AL,Spanish Fort,30.722968,-87.865917
AL,Spring Garden,33.972965,-85.555756
AL,Springville,33.74052,-86.484086
AL,Spruce Pine,34.39287,-87.729597
AL,Standing Rock,33.08569,-85.239849
AL,Stapleton,30.735558,-87.797727
AL,Steele,33.941378,-86.192107
AL,Sterrett,33.442198,-86.461045
AL,Stevenson,34.876797,-85.81435
AL,Stewartville,33.075532,-86.260693
AL,Stockton,31.001245,-87.873929
AL,Sulligent,33.891189,-88.126633
AL,Sumiton,33.749269,-87.046903
AL,Summerdale,30.476741,-87.687561
AL,Susan Moore,34.091999,-86.434156
AL,Sweet Water,32.104614,-87.861889
AL,Sylacauga,33.18867,-86.274799
AL,Sylvania,34.562039,-85.804722
AL,Sylvan Springs,33.53023,-87.031197
AL,Talladega,33.431757,-86.099454
AL,Talladega Springs,33.120452,-86.437761
AL,Tallassee,32.532665,-85.891993
AL,Tarrant,33.592897,-86.766253
AL,Taylor,31.168811,-85.47579
AL,Theodore,30.538686,-88.187573
AL,Thomaston,32.268277,-87.623706
AL,Thomasville,31.910455,-87.743024
AL,Thorsby,32.916909,-86.720335
AL,Tibbie,31.37049,-88.243862
AL,Tidmore Bend,34.033184,-85.926387
AL,Tillmans Corner,30.581533,-88.21278
AL,Town Creek,34.671301,-87.407763
AL,Toxey,31.910712,-88.309146
AL,Trafford,33.818713,-86.746502
AL,Triana,34.587779,-86.748488
AL,Trinity,34.597445,-87.081354
AL,Troy,31.80196,-85.96713
AL,Trussville,33.655233,-86.563239
AL,Tuscaloosa,33.234404,-87.5283
AL,Tuscumbia,34.718502,-87.702586
AL,Tuskegee,32.418723,-85.682509
AL,Twin,33.992314,-87.852295
AL,Underwood-Petersville,34.876112,-87.698157
AL,Union,32.99381,-87.907179
AL,Union Grove,34.406172,-86.451667
AL,Union Springs,32.139506,-85.714623
AL,Uniontown,32.44662,-87.487271
AL,Uriah,31.307365,-87.499213
AL,Valley,32.801427,-85.204438
AL,Valley Grande,32.486872,-87.032773
AL,Valley Head,34.556204,-85.623044
AL,Vance,33.173992,-87.226627
AL,Vandiver,33.458856,-86.529222
AL,Vernon,33.758816,-88.114291
AL,Vestavia Hills,33.462496,-86.739508
AL,Vina,34.376175,-88.060572
AL,Vincent,33.383145,-86.402544
AL,Vinegar Bend,31.259093,-88.367264
AL,Vredenburgh,31.823234,-87.318077
AL,Wadley,33.1234,-85.568592
AL,Waldo,33.387083,-86.041075
AL,Walnut Grove,34.064595,-86.28717
AL,Warrior,33.814858,-86.81565
AL,Waterloo,34.917199,-88.064373
AL,Waverly,32.730078,-85.570999
AL,Weaver,33.75907,-85.809363
AL,Webb,31.257237,-85.289622
AL,Wedowee,33.308004,-85.4865
AL,Weogufka,33.021724,-86.309146
AL,West Blocton,33.118176,-87.125225
AL,West End-Cobb Town,33.651481,-85.876553
AL,West Jefferson,33.673375,-87.040582
AL,Westover,33.36734,-86.533986
AL,West Point,34.238735,-86.964017
AL,Wetumpka,32.540376,-86.206999
AL,Whatley,31.646343,-87.710836
AL,White Hall,32.297411,-86.715776
AL,White Plains,33.759312,-85.68847
AL,Whitesboro,34.169004,-86.058499
AL,Wilsonville,33.240752,-86.491105
AL,Wilton,33.081565,-86.879655
AL,Winfield,33.934717,-87.79131
AL,Woodland,33.375627,-85.397439
AL,Woodstock,33.217498,-87.148433
AL,Woodville,34.629535,-86.283558
AL,Yellow Bluff,31.962341,-87.477359
AL,York,32.500586,-88.291394
AK,Adak,51.909889,-176.598067
AK,Akhiok,56.948329,-154.215306
AK,Akiachak,60.920984,-161.402087
AK,Akiak,60.909445,-161.216002
AK,Akutan,54.139979,-165.763026
AK,Alakanuk,62.710997,-164.649719
AK,Alatna,66.563794,-152.838498
AK,Alcan Border,62.703078,-141.193584
AK,Aleknagik,59.288961,-158.664343
AK,Aleneva,58.059052,-152.909015
AK,Allakaket,66.542002,-152.583016
AK,Ambler,67.090944,-157.887097
AK,Anaktuvuk Pass,68.149752,-151.697066
AK,Anchorage,61.17425,-149.284329
AK,Anchor Point,59.747364,-151.695697
AK,Anderson,64.308281,-149.163187
AK,Angoon,57.441257,-134.478357
AK,Aniak,61.578825,-159.547427
AK,Anvik,62.631627,-160.215106
AK,Arctic Village,68.165374,-145.401362
AK,Atka,52.211546,-174.213452
AK,Atmautluak,60.862755,-162.280302
AK,Atqasuk,70.480786,-157.325459
AK,Attu Station,52.880248,173.256076
AK,Badger,64.800081,-147.385129
AK,Bear Creek,60.20806,-149.369779
AK,Beaver,66.384745,-147.287756
AK,Beluga,61.190862,-151.184237
AK,Bethel,60.793905,-161.796322
AK,Bettles,66.906901,-151.537994
AK,Big Delta,64.157047,-145.740874
AK,Big Lake,61.515547,-149.97553
AK,Birch Creek,66.268327,-145.876583
AK,Brevig Mission,65.343196,-166.508946
AK,Buckland,65.976489,-161.139436
AK,Buffalo Soapstone,61.684439,-149.121172
AK,Butte,61.534033,-148.988168
AK,Cantwell,63.411396,-148.749621
AK,Central,65.509073,-144.620508
AK,Chalkyitsik,66.646753,-143.789298
AK,Chase,62.418236,-149.936172
AK,Chefornak,60.151845,-164.251542
AK,Chena Ridge,64.794305,-148.032883
AK,Chenega,60.092096,-147.99458
AK,Chevak,61.52956,-165.594126
AK,Chickaloon,61.815283,-148.291957
AK,Chicken,64.087691,-141.828278
AK,Chignik,56.29518,-158.391784
AK,Chignik Lagoon,56.304267,-158.500259
AK,Chignik Lake,56.273221,-158.793376
AK,Chiniak,57.575497,-152.279033
AK,Chisana,62.110039,-142.050549
AK,Chistochina,62.596444,-144.941045
AK,Chitina,61.553038,-144.175268
AK,Chuathbaluk,61.573909,-159.247015
AK,Circle,65.838617,-144.175331
AK,Clam Gulch,60.208887,-151.404203
AK,Clark's Point,58.832992,-158.527347
AK,Coffman Cove,56.001661,-132.841966
AK,Cohoe,60.266971,-151.298172
AK,Cold Bay,55.215824,-162.775686
AK,Coldfoot,67.247451,-150.108051
AK,College,64.86729,-147.819453
AK,Cooper Landing,60.494579,-149.843945
AK,Copper Center,62.001096,-145.363956
AK,Cordova,60.530138,-145.642065
AK,Covenant Life,59.397505,-136.123002
AK,Craig,55.488746,-133.111568
AK,Crooked Creek,61.796698,-158.08102
AK,Crown Point,60.426679,-149.35298
AK,Deering,66.069488,-162.764572
AK,Delta Junction,64.057347,-145.699997
AK,Deltana,63.78934,-145.351625
AK,Denali Park,63.573017,-148.673705
AK,Diamond Ridge,59.702361,-151.554623
AK,Dillingham,59.060467,-158.532251
AK,Diomede,65.753924,-168.922577
AK,Dot Lake,63.587223,-144.292361
AK,Dot Lake Village,63.662593,-144.016171
AK,Dry Creek,63.626638,-144.639194
AK,Eagle,64.781256,-141.197829
AK,Eagle Village,64.743389,-141.113834
AK,Eareckson Station,52.72106,174.107149
AK,Edna Bay,55.967618,-133.692253
AK,Eek,60.216265,-162.041999
AK,Egegik,58.205148,-157.521978
AK,Eielson AFB,64.6733,-147.059464
AK,Ekwok,59.345782,-157.487023
AK,Elfin Cove,58.087681,-136.288309
AK,Elim,64.618226,-162.27656
AK,Emmonak,62.77559,-164.50929
AK,Ester,64.879056,-148.041153
AK,Eureka Roadhouse,61.958507,-147.155104
AK,Evansville,66.932933,-151.37006
AK,Excursion Inlet,58.415144,-135.345462
AK,Fairbanks,64.836531,-147.651745
AK,False Pass,54.872441,-163.334268
AK,Farmers Loop,64.908228,-147.698608
AK,Farm Loop,61.635115,-149.155223
AK,Ferry,64.04962,-148.920602
AK,Fishhook,61.731248,-149.283642
AK,Flat,62.441366,-158.040554
AK,Fort Greely,63.967836,-145.714886
AK,Fort Yukon,66.588406,-145.227642
AK,Four Mile Road,64.604476,-149.115192
AK,Fox,64.974859,-147.609007
AK,Fox River,59.889921,-151.012102
AK,Fritz Creek,59.746867,-151.288605
AK,Funny River,60.484313,-150.788736
AK,Gakona,62.368038,-145.305188
AK,Galena,64.741422,-156.873394
