state,name,lat,lon
IL,Coles County,39.51368,-88.220782
IL,Cook County,41.894294,-87.645455
IL,Crawford County,39.002787,-87.760619
IL,Cumberland County,39.273121,-88.240619
IL,DeKalb County,41.894612,-88.768991
IL,De Witt County,40.181499,-88.901853
IL,Douglas County,39.766078,-88.222866
IL,DuPage County,41.852058,-88.086039
IL,Edgar County,39.679037,-87.74711
IL,Edwards County,38.417095,-88.047941
IL,Effingham County,39.047945,-88.592849
IL,Fayette County,39.001125,-89.017923
IL,Ford County,40.596539,-88.224588
IL,Franklin County,37.991852,-88.926321
IL,Fulton County,40.46524,-90.202269
IL,Gallatin County,37.768677,-88.227964
IL,Greene County,39.355439,-90.387682
IL,Grundy County,41.29241,-88.401054
IL,Hamilton County,38.085227,-88.539009
IL,Hancock County,40.401318,-91.168801
IL,Hardin County,37.517852,-88.266148
IL,Henderson County,40.814471,-90.941246
IL,Henry County,41.350021,-90.130838
IL,Iroquois County,40.748867,-87.833601
IL,Jackson County,37.786096,-89.381212
IL,Jasper County,39.004886,-88.150725
IL,Jefferson County,38.30078,-88.92421
IL,Jersey County,39.080195,-90.361385
IL,Jo Daviess County,42.362391,-90.21147
IL,Johnson County,37.460709,-88.882131
IL,Kane County,41.939594,-88.42804
IL,Kankakee County,41.13951,-87.861117
IL,Kendall County,41.58814,-88.430626
IL,Knox County,40.930945,-90.213792
IL,Lake County,42.185968,-87.805939
IL,LaSalle County,41.343341,-88.885931
IL,Lawrence County,38.718954,-87.730221
IL,Lee County,41.747447,-89.299362
IL,Livingston County,40.894376,-88.552852
IL,Logan County,40.129277,-89.365309
IL,McDonough County,40.455808,-90.678954
IL,McHenry County,42.324298,-88.452245
IL,McLean County,40.494559,-88.844539
IL,Macon County,39.860237,-88.961529
IL,Macoupin County,39.265914,-89.92633
IL,Madison County,38.82712,-89.900227
IL,Marion County,38.648236,-88.920362
IL,Marshall County,41.031119,-89.342371
IL,Mason County,40.236993,-89.913575
IL,Massac County,37.216119,-88.705658
IL,Menard County,40.022569,-89.794133
IL,Mercer County,41.205605,-90.74177
IL,Monroe County,38.277983,-90.179078
IL,Montgomery County,39.228068,-89.478141
IL,Morgan County,39.717668,-90.205005
IL,Moultrie County,39.636896,-88.625726
IL,Ogle County,42.041884,-89.320176
IL,Peoria County,40.785972,-89.766993
IL,Perry County,38.084381,-89.368525
IL,Piatt County,40.009033,-88.592355
IL,Pike County,39.625106,-90.889034
IL,Pope County,37.417169,-88.542374
IL,Pulaski County,37.215615,-89.127755
IL,Putnam County,41.198961,-89.298347
IL,Randolph County,38.056515,-89.82121
IL,Richland County,38.712187,-88.085452
IL,Rock Island County,41.468421,-90.572125
IL,St. Clair County,38.470198,-89.928546
IL,Saline County,37.751508,-88.545024
IL,Sangamon County,39.756886,-89.662435
IL,Schuyler County,40.156905,-90.613464
IL,Scott County,39.637002,-90.477771
IL,Shelby County,39.384917,-88.798865
