name,state,population,is_county
Hempstead,NY,58557,False
Margate,FL,58396,False
Orland Park,IL,58345,False
Carson City,NV,58249,False
Midwest City,OK,58124,False
Royal Oak,MI,58053,False
Lancaster,PA,57970,False
Bowie,MD,57922,False
Hanford,CA,57920,False
Kettering,OH,57707,False
St. Peters,MO,57692,False
Oak Lawn,IL,57665,False
Towson,MD,57617,False
Coconut Creek,FL,57574,False
Decatur,AL,57525,False
Lenexa,KS,57497,False
Bartlett,TN,57481,False
South Whittier,CA,57383,False
Weymouth Town,MA,57300,False
Lake Havasu City,AZ,57294,False
Tonawanda Town,NY,57210,False
Bel Air South,MD,57109,False
Fountainebleau,FL,57066,False
Wylie,TX,57063,False
Madison,AL,56967,False
Burlington,NC,56951,False
Brookhaven,GA,56848,False
Highland,CA,56789,False
Fountain Valley,CA,56754,False
Pocatello,ID,56582,False
Berwyn,IL,56556,False
Four Corners,FL,56537,False
Severn,MD,56438,False
Albany,OR,56348,False
National City,CA,56345,False
Lacey,WA,56263,False
Mount Prospect,IL,56191,False
Arcadia,CA,56181,False
Port Arthur,TX,55897,False
DeSoto,TX,55882,False
Smyrna,GA,55863,False
Bradenton,FL,55795,False
New Brunswick,NJ,55718,False
Apple Valley,MN,55594,False
Tinley Park,IL,55571,False
Sarasota,FL,55508,False
Hacienda Heights,CA,55461,False
Chicopee,MA,55441,False
Kingsport,TN,55415,False
West Haven,CT,55336,False
Herriman,UT,55301,False
Valdosta,GA,55266,False
Perth Amboy,NJ,55226,False
Casa Grande,AZ,55186,False
Tigard,OR,55161,False
Olympia,WA,55151,False
Apopka,FL,55056,False
Anderson,IN,55011,False
Southaven,MS,54908,False
Coeur d'Alene,ID,54599,False
Huntington Park,CA,54547,False
Diamond Bar,CA,54534,False
Bentonville,AR,54513,False
Yucaipa,CA,54428,False
Plainfield,NJ,54358,False
Manhattan,KS,54287,False
Aspen Hill,MD,54262,False
Rocky Mount,NC,54260,False
Peabody,MA,54204,False
West Sacramento,CA,54163,False
San Jacinto,CA,54077,False
Pensacola,FL,54059,False
Kentwood,MI,54042,False
Colton,CA,53959,False
Bonita Springs,FL,53945,False
Oak Park,IL,53834,False
Elkhart,IN,53785,False
Westchester,FL,53765,False
Smyrna,TN,53760,False
Wheaton,IL,53673,False
Beaumont,CA,53544,False
Aloha,OR,53532,False
Minnetonka,MN,53529,False
Bozeman,MT,53500,False
Pinellas Park,FL,53352,False
Kannapolis,NC,53314,False
Galveston,TX,53265,False
Paramount,CA,53255,False
Logan,UT,53246,False
Texas City,TX,53084,False
Novato,CA,53055,False
Edina,MN,53037,False
Normal,IL,52920,False
Tamiami,FL,52851,False
Grand Island,NE,52822,False
Methuen Town,MA,52812,False
Elyria,OH,52780,False
Wheaton,MD,52775,False
Kendale Lakes,FL,52661,False
Marana,AZ,52542,False
Battle Creek,MI,52469,False
Watsonville,CA,52457,False
West New York,NJ,52438,False
Twin Falls,ID,52315,False
Florissant,MO,52167,False
Glendora,CA,52095,False
La Crosse,WI,52043,False
Cathedral City,CA,51964,False
Aliso Viejo,CA,51896,False
Joplin,MO,51848,False
Placentia,CA,51797,False
Harrisonburg,VA,51784,False
Hoffman Estates,IL,51744,False
Burien,WA,51505,False
Dunwoody,GA,51458,False
Spring Hill,TN,51319,False
Palm Desert,CA,51290,False
Troy,NY,51268,False
Collierville,TN,51170,False
Levittown,PA,51152,False
Rosemead,CA,51043,False
Country Club,FL,50975,False
Enid,OK,50961,False
East Hartford,CT,50942,False
Cuyahoga Falls,OH,50916,False
Mishawaka,IN,50899,False
Columbus,IN,50896,False
Summerville,SC,50839,False
Levittown,NY,50804,False
Irondequoit,NY,50780,False
Winter Haven,FL,50778,False
Grapevine,TX,50763,False
Covina,CA,50717,False
Milford city (balance),CT,50664,False
Draper,UT,50635,False
Lakewood,OH,50605,False
Catalina Foothills,AZ,50573,False
Middletown,OH,50514,False
Delano,CA,50498,False
Lincoln,CA,50131,False
Newark,OH,50062,False
Harrisburg,PA,50055,False
Murray,UT,50041,False
Mooresville,NC,50025,False
Downers Grove,IL,49996,False
Florin,CA,49992,False
Cypress,CA,49955,False
Sheboygan,WI,49805,False
Jeffersonville,IN,49771,False
North Bethesda,MD,49763,False
Azusa,CA,49704,False
Coral Gables,FL,49696,False
Chesterfield,MO,49645,False
McLean,VA,49587,False
St. Louis Park,MN,49500,False
East Honolulu,HI,49491,False
Bedford,TX,49455,False
Euclid,OH,49279,False
Lawrence,IN,49218,False
Ceres,CA,49183,False
University CDP (Hillsborough County),FL,49148,False
Biloxi,MS,49141,False
El Dorado Hills,CA,49082,False
Cerritos,CA,49016,False
Burleson,TX,48970,False
Portage,MI,48936,False
Barnstable Town,MA,48922,False
Dublin,OH,48893,False
Poway,CA,48737,False
Cedar Hill,TX,48733,False
Everett,MA,48685,False
Stillwater,OK,48644,False
Titusville,FL,48595,False
Niagara Falls,NY,48502,False
Kyle,TX,48484,False
Hattiesburg,MS,48466,False
Leesburg,VA,48465,False
Charleston,WV,48415,False
Westfield,IN,48262,False
Little Elm,TX,48241,False
Middletown,CT,48152,False
North Highlands,CA,48083,False
Tuckahoe,VA,48049,False
Wake Forest,NC,48047,False
Minot,ND,48038,False
Roswell,NM,48035,False
Wauwatosa,WI,47919,False
Bothell,WA,47917,False
Glenview,IL,47896,False
Rockwall,TX,47859,False
Wilson,NC,47767,False
Cleveland,TN,47725,False
Rancho Santa Margarita,CA,47702,False
La Mirada,CA,47644,False
Monroe,LA,47631,False
Mansfield,OH,47630,False
Antelope,CA,47629,False
Hilo,HI,47627,False
Binghamton,NY,47617,False
San Luis Obispo,CA,47529,False
Roseville,MI,47476,False
Newark,CA,47470,False
Mentor,OH,47302,False
Ocoee,FL,47290,False
Rowland Heights,CA,47209,False
Fort Pierce,FL,47153,False
Brea,CA,47099,False
Oro Valley,AZ,47053,False
Prescott Valley,AZ,47015,False
East Providence,RI,47012,False
Pearl City,HI,46812,False
Salina,KS,46734,False
Huntington,WV,46637,False
Beavercreek,OH,46576,False
Winter Garden,FL,46518,False
Potomac,MD,46499,False
Farmington,NM,46457,False
Attleboro,MA,46384,False
Charlottesville,VA,46289,False
Huntsville,TX,46202,False
Strongsville,OH,46165,False
Eagle Mountain,UT,46109,False
Prescott,AZ,46054,False
Olive Branch,MS,45938,False
Arlington,MA,45906,False
Goose Creek,SC,45858,False
Sicklerville,NJ,45853,False
Altamonte Springs,FL,45772,False
